keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,prestij_katmani,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01,kurum_sorgusu,oyuncu_dogrulama,faset_notu,mantik_denetim,katman
rusya premier ligi fikstür,Rusya Premier Ligi,Futbol,Lig,1. Seviye,Niş,Erkek,Kulüp,Takım Sporu,Rusya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Ana Liste
rusya premier ligi maç sonuçları,Rusya Premier Ligi,Futbol,Lig,1. Seviye,Niş,Erkek,Kulüp,Takım Sporu,Rusya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Maç/Skor,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,mac,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Ana Liste
rusya premier ligi canlı izle,Rusya Premier Ligi,Futbol,Lig,1. Seviye,Niş,Erkek,Kulüp,Takım Sporu,Rusya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,izle,20,LOW,8,0.51,0.16,0.49,evet,30,0,10,10,40,10,0,10,30,30,10,70,50,0,30,20,50,10,10,10,20,10,30,90,90,0,90,110,40,10,0,hayır,,,Geçerli,Ana Liste
rusya premier ligi hangi kanalda,Rusya Premier Ligi,Futbol,Lig,1. Seviye,Niş,Erkek,Kulüp,Takım Sporu,Rusya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,İngilizce,Long-tail,kan,10,LOW,3,,,,evet,10,0,10,10,20,20,0,0,20,10,10,40,30,10,20,10,30,10,10,10,40,30,40,50,70,0,20,30,20,0,10,hayır,,,Geçerli,Ana Liste
suudi arabistan ligi,Suudi Pro Lig,Futbol,Lig,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Suudi Arabistan,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Body,jen,27100,LOW,0,,,,evet,1300,3600,110000,33100,12100,60500,33100,9900,14800,14800,9900,8100,6600,5400,74000,60500,27100,27100,33100,27100,12100,9900,12100,8100,3600,8100,40500,22200,27100,27100,22200,hayır,,,Geçerli,Ana Liste
suudi arabistan ligi puan durumu,Suudi Pro Lig,Futbol,Lig,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Suudi Arabistan,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Long-tail,pd,2400,LOW,0,,,,evet,390,390,9900,3600,1600,2900,2900,1600,1000,880,720,590,880,880,4400,5400,3600,4400,4400,3600,1300,880,880,720,390,880,3600,2900,2900,2900,1900,hayır,,,Geçerli,Ana Liste
suudi arabistan ligi fikstür,Suudi Pro Lig,Futbol,Lig,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Suudi Arabistan,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,70,LOW,0,,,,evet,30,10,320,50,50,70,90,50,30,20,10,30,20,10,30,30,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,hayır,,,Geçerli,Ana Liste
suudi arabistan ligi maç sonuçları,Suudi Pro Lig,Futbol,Lig,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Suudi Arabistan,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Maç/Skor,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,mac,90,LOW,0,,,,evet,10,30,210,110,90,170,210,110,40,70,30,20,10,10,110,140,90,110,320,30,40,50,30,30,10,10,90,90,70,70,40,hayır,,,Geçerli,Ana Liste
suudi arabistan ligi canlı izle,Suudi Pro Lig,Futbol,Lig,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Suudi Arabistan,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,izle,50,LOW,4,,,,evet,10,30,40,50,20,90,140,70,40,50,50,20,10,10,40,20,10,50,70,30,20,50,30,40,10,10,50,30,40,70,40,hayır,,,Geçerli,Ana Liste
suudi arabistan ligi hangi kanalda,Suudi Pro Lig,Futbol,Lig,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Suudi Arabistan,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,İngilizce,Long-tail,kan,110,LOW,6,,,,evet,10,10,110,90,30,210,210,90,90,140,170,140,10,20,170,170,90,210,480,170,140,140,140,140,10,10,70,70,90,170,110,hayır,,,Geçerli,Ana Liste
suudi pro lig,Suudi Pro Lig,Futbol,Lig,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Suudi Arabistan,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Body,jen,6600,LOW,0,,,,evet,880,880,22200,12100,4400,14800,8100,4400,4400,2900,1900,1900,1900,1600,4400,4400,2400,2900,3600,2900,1900,1900,1900,1300,720,1000,5400,3600,3600,3600,2400,hayır,,,Geçerli,Ana Liste
suudi pro lig puan durumu,Suudi Pro Lig,Futbol,Lig,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Suudi Arabistan,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Long-tail,pd,590,LOW,0,,,,evet,50,70,2900,880,480,1000,590,260,260,210,170,140,320,170,480,480,480,480,390,480,260,210,170,140,90,110,720,480,480,480,390,hayır,,,Geçerli,Ana Liste
suudi pro lig fikstür,Suudi Pro Lig,Futbol,Lig,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Suudi Arabistan,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Ana Liste
suudi pro lig maç sonuçları,Suudi Pro Lig,Futbol,Lig,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Suudi Arabistan,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Maç/Skor,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,mac,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Ana Liste
suudi pro lig canlı izle,Suudi Pro Lig,Futbol,Lig,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Suudi Arabistan,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,izle,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Ana Liste
suudi pro lig hangi kanalda,Suudi Pro Lig,Futbol,Lig,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Suudi Arabistan,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,İngilizce,Long-tail,kan,50,,,,,,evet,0,10,30,30,10,110,170,50,20,40,50,40,10,10,10,10,20,30,90,40,40,30,30,30,10,10,20,10,20,40,20,hayır,,,Geçerli,Ana Liste
mls,MLS,Futbol,Lig,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,ABD,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen,27100,LOW,0,0.18,0.15,1.21,evet,22200,9900,49500,27100,27100,14800,9900,33100,49500,40500,33100,27100,49500,27100,49500,33100,33100,22200,14800,18100,27100,40500,27100,18100,27100,33100,60500,33100,40500,22200,18100,hayır,,,Geçerli,Ana Liste
mls puan durumu,MLS,Futbol,Lig,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,ABD,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Body,pd,14800,LOW,0,1.78,0.13,0.59,evet,12100,8100,27100,18100,14800,9900,5400,14800,18100,27100,18100,14800,27100,18100,33100,27100,27100,18100,12100,14800,18100,27100,18100,9900,6600,6600,9900,6600,6600,3600,3600,hayır,,,Geçerli,Ana Liste
mls fikstür,MLS,Futbol,Lig,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,ABD,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Head,fik,30,LOW,2,,,,evet,40,20,40,20,20,30,20,30,50,40,30,20,50,40,40,10,20,20,20,20,30,50,30,40,70,20,70,30,30,10,50,hayır,,,Geçerli,Ana Liste
mls maç sonuçları,MLS,Futbol,Lig,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,ABD,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Maç/Skor,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,mac,10,LOW,6,,,,evet,20,0,30,20,10,10,10,10,10,20,10,10,20,20,30,10,20,10,10,10,10,30,40,20,50,30,30,10,10,10,10,hayır,,,Geçerli,Ana Liste
mls canlı izle,MLS,Futbol,Lig,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,ABD,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle,70,LOW,19,0.13,,,evet,10,10,70,70,140,50,10,110,50,70,140,90,170,40,110,110,90,30,10,10,70,140,140,40,170,90,170,140,170,70,40,hayır,,,Geçerli,Ana Liste
mls hangi kanalda,MLS,Futbol,Lig,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,ABD,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,İngilizce,Body,kan,70,LOW,7,0.33,,,evet,50,10,90,110,90,70,10,140,110,70,110,50,90,50,210,90,90,40,20,10,70,140,170,90,90,90,210,170,260,140,70,hayır,,,Geçerli,Ana Liste
brezilya ligi,Brezilya Serie A,Futbol,Lig,1. Seviye,Niş,Erkek,Kulüp,Takım Sporu,Brezilya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen,18100,LOW,2,0.47,0.21,0.49,evet,9900,6600,33100,18100,22200,18100,12100,22200,27100,22200,14800,22200,22200,27100,22200,18100,12100,18100,12100,18100,22200,18100,18100,27100,49500,33100,18100,27100,8100,18100,12100,hayır,,,Geçerli,Ana Liste
brezilya ligi puan durumu,Brezilya Serie A,Futbol,Lig,1. Seviye,Niş,Erkek,Kulüp,Takım Sporu,Brezilya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Body,pd,1900,LOW,2,0.41,0.2,0.5,evet,880,720,5400,1900,2400,1900,1600,2900,2900,1900,1600,1900,2400,4400,2400,1900,1600,2900,1600,1900,2400,1600,1600,2900,8100,5400,2900,3600,1000,3600,1600,hayır,,,Geçerli,Ana Liste
brezilya ligi fikstür,Brezilya Serie A,Futbol,Lig,1. Seviye,Niş,Erkek,Kulüp,Takım Sporu,Brezilya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,40,LOW,2,0.36,,,evet,70,20,90,50,50,30,20,50,50,30,20,30,40,50,40,20,10,40,70,40,40,30,30,40,50,40,20,30,20,30,30,hayır,,,Geçerli,Ana Liste
brezilya ligi maç sonuçları,Brezilya Serie A,Futbol,Lig,1. Seviye,Niş,Erkek,Kulüp,Takım Sporu,Brezilya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Maç/Skor,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,mac,210,LOW,9,0.41,0.15,0.56,evet,110,70,210,210,260,260,110,210,480,390,260,210,260,140,170,210,50,40,40,170,260,260,260,320,720,480,170,210,30,50,20,hayır,,,Geçerli,Ana Liste
brezilya ligi canlı izle,Brezilya Serie A,Futbol,Lig,1. Seviye,Niş,Erkek,Kulüp,Takım Sporu,Brezilya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle,40,LOW,21,,,,evet,20,10,50,40,50,50,20,70,70,70,30,70,90,40,70,50,30,30,10,10,110,140,90,110,260,140,140,260,10,40,30,hayır,,,Geçerli,Ana Liste
brezilya ligi hangi kanalda,Brezilya Serie A,Futbol,Lig,1. Seviye,Niş,Erkek,Kulüp,Takım Sporu,Brezilya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,İngilizce,Body,kan,140,LOW,11,0.68,0.14,0.4,evet,90,20,140,70,110,110,50,140,260,260,110,210,210,170,210,140,40,210,50,110,390,170,210,320,390,260,210,480,30,50,40,hayır,,,Geçerli,Ana Liste
arjantin ligi,Arjantin Ligi,Futbol,Lig,1. Seviye,Niş,Erkek,Kulüp,Takım Sporu,Arjantin,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen,14800,LOW,0,,,,evet,8100,5400,14800,14800,14800,14800,8100,40500,18100,12100,12100,14800,18100,14800,14800,18100,14800,18100,9900,14800,18100,12100,14800,14800,12100,14800,14800,12100,14800,14800,8100,hayır,,,Geçerli,Ana Liste
arjantin ligi puan durumu,Arjantin Ligi,Futbol,Lig,1. Seviye,Niş,Erkek,Kulüp,Takım Sporu,Arjantin,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Body,pd,1600,LOW,0,0.59,,,evet,1000,590,1600,1900,1900,1600,1600,3600,2400,1300,1300,1300,1600,1900,1600,1900,1600,1900,880,1600,2400,1600,2400,1900,1600,3600,1900,1600,2400,1900,1000,hayır,,,Geçerli,Ana Liste
arjantin ligi fikstür,Arjantin Ligi,Futbol,Lig,1. Seviye,Niş,Erkek,Kulüp,Takım Sporu,Arjantin,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,40,LOW,2,,,,evet,50,20,20,30,30,40,70,40,50,20,20,30,20,10,20,10,20,10,20,30,20,10,40,30,20,30,10,10,20,10,10,hayır,,,Geçerli,Ana Liste
arjantin ligi maç sonuçları,Arjantin Ligi,Futbol,Lig,1. Seviye,Niş,Erkek,Kulüp,Takım Sporu,Arjantin,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Maç/Skor,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,mac,170,LOW,3,0.17,0.08,0.32,evet,170,40,90,170,210,260,210,50,210,210,170,140,170,50,140,210,210,260,110,210,390,260,210,260,260,320,260,210,260,320,90,hayır,,,Geçerli,Ana Liste
arjantin ligi canlı izle,Arjantin Ligi,Futbol,Lig,1. Seviye,Niş,Erkek,Kulüp,Takım Sporu,Arjantin,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle,40,LOW,4,0.23,,,evet,70,10,20,70,30,50,20,20,50,50,70,50,110,20,30,40,40,30,20,30,50,70,90,90,70,70,110,210,210,390,90,hayır,,,Geçerli,Ana Liste
arjantin ligi hangi kanalda,Arjantin Ligi,Futbol,Lig,1. Seviye,Niş,Erkek,Kulüp,Takım Sporu,Arjantin,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,İngilizce,Body,kan,40,LOW,12,,,,evet,20,10,20,90,50,50,20,30,50,50,40,50,70,30,30,70,30,70,30,70,90,90,260,110,50,40,50,90,70,170,50,hayır,,,Geçerli,Ana Liste
fa cup,FA Cup,Futbol,Kupa,Kıta Üstü,Orta,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Turnuva,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen,33100,LOW,0,,,,evet,2900,2400,49500,110000,60500,49500,49500,8100,2900,5400,4400,5400,2900,3600,49500,40500,74000,90500,90500,9900,4400,6600,4400,5400,3600,5400,74000,74000,90500,60500,135000,hayır,,,Geçerli,Ana Liste
fa cup fikstür,FA Cup,Futbol,Kupa,Kıta Üstü,Orta,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Turnuva,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,70,LOW,1,,,,evet,10,10,50,210,170,90,110,30,20,20,20,10,10,10,40,110,170,170,170,30,10,20,10,10,10,10,50,140,210,210,320,hayır,,,Geçerli,Ana Liste
fa cup maç sonuçları,FA Cup,Futbol,Kupa,Kıta Üstü,Orta,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Turnuva,Maç/Skor,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,mac,10,,,,,,evet,0,0,10,10,10,10,10,10,0,10,0,10,0,0,10,10,20,20,10,10,10,10,10,0,0,10,10,10,20,20,50,hayır,,,Geçerli,Ana Liste
fa cup canlı izle,FA Cup,Futbol,Kupa,Kıta Üstü,Orta,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Turnuva,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle,10,LOW,14,,,,evet,10,0,20,30,20,10,40,10,10,0,0,10,0,0,50,30,40,40,70,0,10,10,10,10,10,10,170,70,40,50,210,hayır,,,Geçerli,Ana Liste
fa cup hangi kanalda,FA Cup,Futbol,Kupa,Kıta Üstü,Orta,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Turnuva,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,İngilizce,Body,kan,390,LOW,7,,,,evet,10,0,480,1300,720,720,1300,70,10,70,70,40,20,10,1600,590,880,1000,2400,140,30,110,70,110,10,10,1300,880,1300,880,4400,hayır,,,Geçerli,Ana Liste
carabao cup,Carabao Cup,Futbol,Kupa,Kıta Üstü,Orta,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Turnuva,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen,4400,LOW,0,,,,evet,720,720,3600,2400,9900,5400,4400,4400,1000,5400,5400,5400,880,1600,8100,2400,8100,8100,6600,8100,1900,6600,6600,4400,880,1000,3600,2400,1900,9900,8100,hayır,,,Geçerli,Ana Liste
carabao cup fikstür,Carabao Cup,Futbol,Kupa,Kıta Üstü,Orta,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Turnuva,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Ana Liste
carabao cup maç sonuçları,Carabao Cup,Futbol,Kupa,Kıta Üstü,Orta,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Turnuva,Maç/Skor,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,mac,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Ana Liste
carabao cup canlı izle,Carabao Cup,Futbol,Kupa,Kıta Üstü,Orta,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Turnuva,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Ana Liste
carabao cup hangi kanalda,Carabao Cup,Futbol,Kupa,Kıta Üstü,Orta,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Turnuva,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,İngilizce,Body,kan,70,LOW,0,,,,evet,10,0,10,10,210,70,110,90,10,90,140,50,10,0,0,10,90,70,70,110,10,140,70,50,10,0,10,10,10,320,110,hayır,,,Geçerli,Ana Liste
efl cup,Carabao Cup,Futbol,Kupa,Kıta Üstü,Orta,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Turnuva,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen,2400,LOW,1,,,,evet,260,320,1300,1000,4400,3600,2900,3600,590,4400,3600,3600,320,390,1600,880,2900,4400,3600,5400,1300,5400,3600,2400,320,390,1600,880,590,2400,4400,hayır,,,Geçerli,Ana Liste
efl cup fikstür,Carabao Cup,Futbol,Kupa,Kıta Üstü,Orta,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Turnuva,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,10,LOW,0,,,,evet,10,0,10,10,0,0,0,10,0,0,10,10,0,10,0,10,0,10,10,10,10,10,10,10,10,10,10,10,0,10,10,hayır,,,Geçerli,Ana Liste
efl cup maç sonuçları,Carabao Cup,Futbol,Kupa,Kıta Üstü,Orta,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Turnuva,Maç/Skor,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,mac,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Ana Liste
efl cup canlı izle,Carabao Cup,Futbol,Kupa,Kıta Üstü,Orta,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Turnuva,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Ana Liste
efl cup hangi kanalda,Carabao Cup,Futbol,Kupa,Kıta Üstü,Orta,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Turnuva,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,İngilizce,Body,kan,50,LOW,0,,,,evet,10,10,10,10,90,50,70,90,10,90,170,70,10,0,10,0,20,140,110,140,10,320,90,20,0,0,10,10,10,140,90,hayır,,,Geçerli,Ana Liste
community shield,Community Shield,Futbol,Kupa,Kıta Üstü,Orta,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Turnuva,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen,1900,LOW,1,0.27,0.07,0.54,evet,880,880,3600,720,880,480,880,390,390,480,720,14800,880,720,1300,880,720,720,720,720,480,720,720,22200,1300,720,1600,880,720,720,880,hayır,,,Geçerli,Ana Liste
community shield fikstür,Community Shield,Futbol,Kupa,Kıta Üstü,Orta,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Turnuva,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Ana Liste
community shield maç sonuçları,Community Shield,Futbol,Kupa,Kıta Üstü,Orta,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Turnuva,Maç/Skor,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,mac,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Ana Liste
community shield canlı izle,Community Shield,Futbol,Kupa,Kıta Üstü,Orta,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Turnuva,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle,10,,,,,,evet,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,hayır,,,Geçerli,Ana Liste
community shield hangi kanalda,Community Shield,Futbol,Kupa,Kıta Üstü,Orta,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Turnuva,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,İngilizce,Body,kan,70,LOW,5,,,,evet,10,0,10,0,0,0,0,0,0,10,0,720,10,10,10,0,10,10,0,10,10,10,10,2400,10,0,10,0,10,10,10,hayır,,,Geçerli,Ana Liste
kral kupası,Copa del Rey,Futbol,Kupa,Kıta Üstü,Orta,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Yok,Yıllık,Turnuva,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Head,jen,2400,LOW,0,,,,evet,320,260,1300,6600,6600,8100,5400,3600,260,480,260,210,320,480,1900,27100,2400,12100,9900,1300,320,720,260,480,320,1000,1900,2900,880,2900,18100,hayır,,,Geçerli,Ana Liste
kral kupası fikstür,Copa del Rey,Futbol,Kupa,Kıta Üstü,Orta,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Yok,Yıllık,Turnuva,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,10,,,,,,evet,0,0,10,10,10,10,20,10,10,10,10,10,10,10,10,40,10,70,90,0,0,0,0,0,0,0,0,0,0,0,0,hayır,,,Geçerli,Ana Liste
kral kupası maç sonuçları,Copa del Rey,Futbol,Kupa,Kıta Üstü,Orta,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Yok,Yıllık,Turnuva,Maç/Skor,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,mac,10,,,,,,evet,0,10,10,10,10,10,10,10,0,0,0,0,0,0,10,40,10,20,10,10,0,0,0,0,0,10,10,10,0,10,40,hayır,,,Geçerli,Ana Liste
