keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,prestij_katmani,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,kurum_sorgusu
borussia dortmund fikstür,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Takım,Jenerik,Türkçe,Body,tk_fikstur,20,LOW,27,0.25,,,evet,10,10,10,10,20,30,20,30,20,30,20,10,,hayır
borussia dortmund puan durumu,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Takım,Jenerik,İngilizce,Body,tk_pd,22200,LOW,0,,,,evet,3600,2900,22200,33100,18100,40500,33100,22200,27100,27100,18100,8100,,hayır
borussia dortmund kadro,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kadro,Bilgi,Takım,Jenerik,İngilizce,Body,tk_kadro,170,LOW,1,,,,evet,140,140,210,110,140,260,170,110,90,170,210,170,,hayır
borussia dortmund oyuncuları,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kadro,Bilgi,Takım,Jenerik,Türkçe,Body,tk_oyuncu,8100,LOW,0,0.3,,,evet,5400,6600,12100,8100,6600,12100,9900,6600,8100,9900,9900,8100,,hayır
borussia dortmund transfer,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Transfer,Bilgi,Takım,Jenerik,İngilizce,Body,tk_transfer,50,LOW,0,,,,evet,70,50,30,30,20,50,40,10,20,50,90,140,,hayır
borussia dortmund,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Takım Jenerik,Bilgi,Takım,Jenerik,İngilizce,Head,tk_jen,135000,LOW,2,0.94,0.14,0.7,evet,40500,22200,90500,110000,74000,201000,301000,165000,246000,201000,135000,60500,,hayır
bayer leverkusen maçı,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Bilgi,Takım,Jenerik,Türkçe,Body,tk_mac,720,LOW,6,,,,evet,110,50,390,590,1000,1600,1300,880,590,880,1000,480,,hayır
bayer leverkusen maçları,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Bilgi,Takım,Jenerik,Türkçe,Body,tk_maclar,720,LOW,6,,,,evet,110,50,390,590,1000,1600,1300,880,590,880,1000,480,,hayır
bayer leverkusen maçı ne zaman,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Takvim/Saat,Bilgi,Takım,Jenerik,Türkçe,Long-tail,tk_nezaman,20,LOW,0,,,,evet,10,10,20,30,30,30,40,20,20,20,30,20,,hayır
bayer leverkusen maçı hangi kanalda,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Takım,Jenerik,Türkçe,Long-tail,tk_kanal,90,LOW,0,,,,evet,10,0,20,40,170,170,50,90,50,140,210,90,,hayır
bayer leverkusen canlı izle,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Takım,Jenerik,Türkçe,Body,tk_izle,30,LOW,0,,,,evet,10,0,10,10,50,70,50,20,20,50,50,30,,hayır
bayer leverkusen fikstür,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Takım,Jenerik,Türkçe,Body,tk_fikstur,10,,,,,,evet,0,10,10,10,20,10,20,20,20,10,20,10,,hayır
bayer leverkusen puan durumu,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Takım,Jenerik,İngilizce,Body,tk_pd,110,LOW,0,,,,evet,10,10,90,110,260,170,320,140,140,90,110,20,,hayır
bayer leverkusen kadro,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kadro,Bilgi,Takım,Jenerik,İngilizce,Body,tk_kadro,110,LOW,3,,,,evet,110,70,90,110,210,90,110,70,90,90,170,170,,hayır
bayer leverkusen oyuncuları,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kadro,Bilgi,Takım,Jenerik,Türkçe,Body,tk_oyuncu,70,LOW,1,,,,evet,50,50,70,70,90,50,70,40,70,50,110,170,,hayır
bayer leverkusen transfer,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Transfer,Bilgi,Takım,Jenerik,İngilizce,Body,tk_transfer,40,LOW,0,,,,evet,20,20,10,20,10,10,20,10,10,20,110,140,,hayır
bayer leverkusen,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Takım Jenerik,Bilgi,Takım,Jenerik,İngilizce,Head,tk_jen,33100,LOW,3,0.71,0.27,0.84,evet,5400,3600,18100,27100,49500,60500,40500,33100,27100,40500,60500,27100,,hayır
rb leipzig maçı,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Bilgi,Takım,Jenerik,Türkçe,Body,tk_mac,2400,LOW,0,,,,evet,390,210,1300,1900,2900,2400,2900,3600,2900,3600,3600,2400,,hayır
rb leipzig maçları,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Bilgi,Takım,Jenerik,Türkçe,Body,tk_maclar,2400,LOW,0,,,,evet,390,210,1300,1900,2900,2400,2900,3600,2900,3600,3600,2400,,hayır
rb leipzig maçı ne zaman,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Takvim/Saat,Bilgi,Takım,Jenerik,Türkçe,Long-tail,tk_nezaman,,,,,,,hayir,,,,,,,,,,,,,,hayır
rb leipzig maçı hangi kanalda,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Takım,Jenerik,Türkçe,Long-tail,tk_kanal,10,LOW,7,,,,evet,10,0,10,10,10,10,10,10,0,10,10,10,,hayır
rb leipzig canlı izle,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Takım,Jenerik,Türkçe,Body,tk_izle,10,,,,,,evet,0,0,0,0,10,0,10,10,10,0,10,10,,hayır
rb leipzig fikstür,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Takım,Jenerik,Türkçe,Body,tk_fikstur,10,LOW,0,,,,evet,10,10,10,10,10,10,10,10,0,10,10,10,,hayır
rb leipzig puan durumu,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Takım,Jenerik,İngilizce,Body,tk_pd,8100,LOW,0,,,,evet,1300,1600,8100,9900,12100,8100,9900,12100,9900,9900,8100,6600,,hayır
rb leipzig kadro,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kadro,Bilgi,Takım,Jenerik,İngilizce,Body,tk_kadro,30,LOW,0,,,,evet,40,20,30,20,20,10,20,30,20,40,20,50,,hayır
rb leipzig oyuncuları,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kadro,Bilgi,Takım,Jenerik,Türkçe,Body,tk_oyuncu,2900,LOW,0,,,,evet,1300,1300,2900,2400,2400,2400,2900,3600,2900,3600,3600,6600,,hayır
rb leipzig transfer,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Transfer,Bilgi,Takım,Jenerik,İngilizce,Body,tk_transfer,110,LOW,1,,,,evet,140,50,40,30,40,40,70,40,40,70,210,480,,hayır
rb leipzig,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Takım Jenerik,Bilgi,Takım,Jenerik,İngilizce,Head,tk_jen,27100,LOW,2,0.23,0.19,1.49,evet,8100,12100,27100,33100,22200,22200,27100,33100,33100,40500,27100,27100,,hayır
eintracht frankfurt maçı,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Bilgi,Takım,Jenerik,Türkçe,Body,tk_mac,50,LOW,1,,,,evet,20,10,10,10,40,40,70,20,70,110,170,20,,hayır
eintracht frankfurt maçları,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Bilgi,Takım,Jenerik,Türkçe,Body,tk_maclar,14800,LOW,0,,,,evet,2400,880,2400,2400,3600,4400,12100,8100,12100,27100,74000,8100,,hayır
eintracht frankfurt maçı ne zaman,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Takvim/Saat,Bilgi,Takım,Jenerik,Türkçe,Long-tail,tk_nezaman,,,,,,,hayir,,,,,,,,,,,,,,hayır
eintracht frankfurt maçı hangi kanalda,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Takım,Jenerik,Türkçe,Long-tail,tk_kanal,70,LOW,4,0.18,,,evet,70,0,10,10,10,10,10,10,20,90,480,20,,hayır
eintracht frankfurt canlı izle,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Takım,Jenerik,Türkçe,Body,tk_izle,30,LOW,14,,,,evet,30,0,10,0,10,10,20,10,40,50,210,20,,hayır
eintracht frankfurt fikstür,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Bilgi,Takım,Jenerik,Türkçe,Body,tk_fikstur,20,LOW,0,,,,evet,10,10,10,10,10,10,20,10,30,30,140,10,,hayır
eintracht frankfurt puan durumu,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Takım,Jenerik,İngilizce,Body,tk_pd,27100,LOW,0,,,,evet,5400,2900,12100,6600,9900,12100,27100,12100,18100,27100,165000,18100,,hayır
eintracht frankfurt kadro,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kadro,Bilgi,Takım,Jenerik,İngilizce,Body,tk_kadro,140,LOW,1,,,,evet,110,20,20,20,40,20,30,20,30,30,1000,140,,hayır
eintracht frankfurt oyuncuları,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kadro,Bilgi,Takım,Jenerik,Türkçe,Body,tk_oyuncu,12100,LOW,0,,,,evet,5400,1900,2900,2400,3600,3600,5400,3600,5400,6600,90500,12100,,hayır
eintracht frankfurt transfer,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Transfer,Bilgi,Takım,Jenerik,İngilizce,Body,tk_transfer,50,LOW,3,0.07,,,evet,50,20,10,10,10,10,50,20,10,20,210,210,,hayır
eintracht frankfurt,Bundesliga,Futbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Almanya,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Takım Jenerik,Bilgi,Takım,Jenerik,İngilizce,Head,tk_jen,135000,LOW,2,0.24,0.04,0.93,evet,49500,9900,33100,27100,33100,40500,201000,90500,135000,201000,673000,60500,,hayır
fenerbahçe beko maçı,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Bilgi,Takım,Jenerik,Türkçe,Body,tk_mac,33100,LOW,5,0.3,0.07,0.28,evet,1600,40500,60500,33100,40500,60500,49500,33100,33100,40500,8100,3600,,hayır
fenerbahçe beko maçları,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Bilgi,Takım,Jenerik,Türkçe,Body,tk_maclar,33100,LOW,5,0.3,0.07,0.28,evet,1600,40500,60500,33100,40500,60500,49500,33100,33100,40500,8100,3600,,hayır
fenerbahçe beko maçı ne zaman,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Takvim/Saat,Bilgi,Takım,Jenerik,Türkçe,Long-tail,tk_nezaman,1600,LOW,4,0.17,0.05,0.18,evet,210,1600,3600,1600,1900,2400,2400,1900,1600,1600,480,320,,hayır
fenerbahçe beko maçı hangi kanalda,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Takım,Jenerik,Türkçe,Long-tail,tk_kanal,8100,LOW,4,0.23,,,evet,320,12100,18100,5400,6600,12100,9900,6600,6600,12100,4400,480,,hayır
fenerbahçe beko canlı izle,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Takım,Jenerik,Türkçe,Body,tk_izle,2900,LOW,4,,,,evet,20,2900,5400,3600,2900,8100,3600,2400,1900,1900,390,70,,hayır
fenerbahçe beko fikstür,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Fikstür,Bilgi,Takım,Jenerik,Türkçe,Body,tk_fikstur,5400,LOW,2,,,,evet,390,2900,4400,5400,6600,8100,8100,6600,5400,6600,2400,1300,,hayır
fenerbahçe beko puan durumu,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Takım,Jenerik,Türkçe,Body,tk_pd,1300,LOW,0,,,,evet,110,320,1300,1600,1900,4400,2900,1300,1300,590,110,210,,hayır
fenerbahçe beko kadro,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Kadro,Bilgi,Takım,Jenerik,Türkçe,Body,tk_kadro,2900,LOW,0,0.48,0.22,0.53,evet,2900,2400,1600,1000,1600,2900,2900,1600,1600,3600,9900,1900,,hayır
fenerbahçe beko oyuncuları,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Kadro,Bilgi,Takım,Jenerik,Türkçe,Body,tk_oyuncu,2400,LOW,0,0.23,,,evet,1300,1900,2400,1900,2400,4400,3600,1900,1900,1900,6600,1900,,hayır
fenerbahçe beko transfer,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Transfer,Bilgi,Takım,Jenerik,Türkçe,Body,tk_transfer,14800,LOW,0,0.08,0.15,2.65,evet,33100,27100,6600,3600,1300,5400,40500,5400,5400,8100,22200,27100,,hayır
fenerbahçe beko,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Bilgi,Takım,Jenerik,Türkçe,Head,tk_jen,1220000,LOW,1,0.5,0.09,0.56,evet,165000,1500000,1830000,1000000,1220000,1830000,1830000,1220000,1000000,1500000,550000,135000,,hayır
anadolu efes maçı,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Bilgi,Takım,Jenerik,Türkçe,Body,tk_mac,5400,LOW,16,0.18,0.05,0.21,evet,480,1600,1900,4400,6600,6600,8100,8100,12100,9900,4400,720,,hayır
anadolu efes maçları,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Bilgi,Takım,Jenerik,Türkçe,Body,tk_maclar,5400,LOW,16,0.18,0.05,0.21,evet,480,1600,1900,4400,6600,6600,8100,8100,12100,9900,4400,720,,hayır
anadolu efes maçı ne zaman,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Takvim/Saat,Bilgi,Takım,Jenerik,Türkçe,Long-tail,tk_nezaman,210,LOW,15,0.1,,,evet,30,110,90,140,170,210,210,320,320,590,210,40,,hayır
anadolu efes maçı hangi kanalda,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Takım,Jenerik,Türkçe,Long-tail,tk_kanal,720,LOW,6,,,,evet,10,320,170,260,590,880,1000,1000,1600,2400,1000,10,,hayır
anadolu efes canlı izle,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Takım,Jenerik,Türkçe,Body,tk_izle,110,LOW,14,,,,evet,10,90,20,50,50,110,140,170,260,390,140,10,,hayır
anadolu efes fikstür,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Fikstür,Bilgi,Takım,Jenerik,Türkçe,Body,tk_fikstur,880,LOW,5,,,,evet,90,170,320,720,880,1000,1300,1300,1300,1900,1000,320,,hayır
anadolu efes puan durumu,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Takım,Jenerik,İngilizce,Body,tk_pd,90,LOW,0,,,,evet,20,20,40,70,90,260,110,110,110,70,20,40,,hayır
anadolu efes kadro,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Kadro,Bilgi,Takım,Jenerik,İngilizce,Body,tk_kadro,1000,LOW,1,,,,evet,720,720,480,480,590,720,1000,1000,1300,1900,4400,720,,hayır
anadolu efes oyuncuları,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Kadro,Bilgi,Takım,Jenerik,Türkçe,Body,tk_oyuncu,1000,LOW,1,,,,evet,720,880,880,880,1000,1300,1600,1300,1300,1600,1900,480,,hayır
anadolu efes transfer,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Transfer,Bilgi,Takım,Jenerik,İngilizce,Body,tk_transfer,1600,LOW,1,2.47,0.4,4,evet,6600,2900,720,320,110,170,590,880,720,880,1900,2400,,hayır
anadolu efes,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Bilgi,Takım,Jenerik,İngilizce,Head,tk_jen,165000,LOW,2,0.58,0.18,1.22,evet,49500,165000,60500,110000,135000,165000,201000,246000,246000,301000,110000,33100,,hayır
beşiktaş basketbol maçı,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Bilgi,Takım,Jenerik,Türkçe,Body,tk_mac,33100,LOW,5,0.16,0.05,0.22,evet,1600,135000,40500,60500,27100,40500,40500,40500,22200,18100,9900,1300,,hayır
beşiktaş basketbol maçları,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Bilgi,Takım,Jenerik,Türkçe,Body,tk_maclar,33100,LOW,5,0.16,0.05,0.22,evet,1600,135000,40500,60500,27100,40500,40500,40500,22200,18100,9900,1300,,hayır
beşiktaş basketbol maçı ne zaman,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Takvim/Saat,Bilgi,Takım,Jenerik,Türkçe,Long-tail,tk_nezaman,1900,LOW,5,0.05,0.05,0.17,evet,170,3600,1600,2900,1600,1900,2900,2900,1900,1300,480,320,,hayır
beşiktaş basketbol maçı hangi kanalda,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Takım,Jenerik,Türkçe,Long-tail,tk_kanal,5400,LOW,3,0.41,,,evet,170,8100,3600,9900,2900,3600,8100,9900,5400,6600,1300,320,,hayır
beşiktaş basketbol canlı izle,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Takım,Jenerik,Türkçe,Body,tk_izle,140,LOW,0,,,,evet,10,590,140,140,70,110,210,260,170,140,30,10,,hayır
beşiktaş basketbol fikstür,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Fikstür,Bilgi,Takım,Jenerik,Türkçe,Body,tk_fikstur,1000,LOW,4,,0.11,0.23,evet,140,1000,1000,1300,1000,1000,1600,1900,1300,880,390,260,,hayır
beşiktaş basketbol puan durumu,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Takım,Jenerik,Türkçe,Body,tk_pd,880,LOW,0,,,,evet,90,320,880,1000,880,2400,1300,1600,880,390,110,140,,hayır
beşiktaş basketbol kadro,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Global Elit,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,TV+ Var,Yıllık,Sürekli Lig,Kadro,Bilgi,Takım,Jenerik,Türkçe,Body,tk_kadro,590,LOW,1,,,,evet,720,880,320,480,390,480,480,480,590,480,1000,320,,hayır
