keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,intent_kaynak,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,kulup,oyuncu_ana_ad,milli_kaynak,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01
hilal öztürk kimdir,Judo,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,hilal öztürk,,10,LOW,0,,,,evet,10,10,10,10,10,10,10,10,10,10,20,20,10,10,10,10,10,20,10,10,50,20,20,20,20,40,20,50,30,30,210
hilal öztürk hangi takımda,Judo,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,hilal öztürk,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hilal öztürk istatistik,Judo,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,hilal öztürk,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
islam makhachev,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,islam makhachev,,74000,LOW,1,0.56,0.14,0.99,evet,90500,90500,60500,33100,40500,40500,49500,40500,246000,49500,33100,110000,90500,74000,33100,40500,74000,60500,165000,49500,74000,27100,9900,12100,12100,60500,27100,27100,18100,14800,18100
islam makhachev kimdir,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,islam makhachev,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
islam makhachev hangi takımda,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,islam makhachev,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
islam makhachev istatistik,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,islam makhachev,,90,LOW,3,,,,evet,90,170,170,40,50,50,90,50,140,30,50,260,260,260,40,50,140,170,170,110,390,110,30,40,40,140,50,90,70,50,50
khamzat chimaev,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,khamzat chimaev,,90500,LOW,0,,0.17,1.19,evet,33100,49500,201000,40500,40500,33100,49500,40500,49500,33100,40500,368000,90500,49500,33100,33100,74000,60500,60500,49500,90500,74000,12100,12100,12100,40500,22200,27100,27100,22200,33100
khamzat chimaev kimdir,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,khamzat chimaev,,90,LOW,1,,,,evet,40,40,170,70,50,50,70,50,70,40,70,480,70,40,30,40,70,70,70,50,170,90,70,40,20,40,40,20,50,70,110
khamzat chimaev hangi takımda,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,khamzat chimaev,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khamzat chimaev istatistik,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,khamzat chimaev,,90,LOW,3,,,,evet,40,90,110,20,70,50,90,90,110,40,30,170,210,170,50,70,260,210,210,140,260,90,50,40,40,110,40,90,110,110,140
conor mcgregor,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,conor mcgregor,,60500,LOW,3,0.39,0.12,0.57,evet,301000,74000,60500,22200,27100,22200,33100,27100,33100,33100,27100,60500,135000,40500,27100,33100,49500,33100,40500,40500,135000,27100,22200,27100,40500,49500,40500,60500,60500,27100,27100
conor mcgregor kimdir,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,conor mcgregor,,50,LOW,0,,,,evet,140,30,40,40,40,40,40,30,30,70,70,70,170,50,40,40,140,30,50,70,210,40,90,30,90,110,70,70,70,20,50
conor mcgregor hangi takımda,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,conor mcgregor,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conor mcgregor istatistik,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,conor mcgregor,,50,LOW,2,,,,evet,70,70,90,20,30,20,30,30,50,20,20,140,210,210,40,30,390,260,140,170,480,70,30,40,50,110,70,170,170,90,70
justin gaethje,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,justin gaethje,,22200,LOW,0,0.39,0.15,0.75,evet,22200,110000,18100,6600,8100,6600,49500,8100,8100,5400,3600,8100,12100,8100,4400,6600,27100,6600,5400,3600,4400,3600,2400,2400,2400,3600,2900,12100,5400,2400,3600
justin gaethje kimdir,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,justin gaethje,,10,LOW,0,,,,evet,10,70,10,10,10,10,10,10,10,10,0,10,10,10,10,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
justin gaethje hangi takımda,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,justin gaethje,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justin gaethje istatistik,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,justin gaethje,,20,LOW,0,,,,evet,20,90,30,10,10,10,10,10,10,10,10,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ilia topuria,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,ilia topuria,,60500,LOW,1,0.36,0.17,0.59,evet,49500,301000,74000,27100,33100,33100,33100,27100,60500,40500,22200,60500,90500,201000,27100,27100,33100,27100,22200,14800,18100,33100,4400,3600,2400,2900,2900,5400,4400,12100,1600
ilia topuria kimdir,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,ilia topuria,,40,LOW,0,,,,evet,40,170,50,10,20,20,20,40,40,40,20,40,140,390,10,10,20,10,20,10,10,40,10,10,10,10,10,10,10,30,0
ilia topuria hangi takımda,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,ilia topuria,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ilia topuria istatistik,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,ilia topuria,,70,LOW,1,,,,evet,40,90,90,30,40,30,50,40,90,40,40,140,70,40,20,40,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alexander volkanovski,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,alexander volkanovski,,2900,LOW,0,,,,evet,2400,3600,2400,1600,1900,4400,6600,2400,2900,1600,1600,4400,5400,4400,2400,9900,4400,2400,2400,1600,2400,2400,880,1300,880,1600,1600,2900,2400,6600,2900
alexander volkanovski kimdir,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,alexander volkanovski,,10,LOW,0,,,,evet,10,10,10,10,0,10,10,10,0,0,0,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10
alexander volkanovski hangi takımda,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,alexander volkanovski,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexander volkanovski istatistik,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,alexander volkanovski,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
petr yan,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,petr yan,,3600,LOW,0,,,,evet,2900,3600,2400,1900,1900,1600,2400,18100,1900,2400,590,1300,4400,1300,880,1000,1000,880,1300,880,5400,720,1000,480,590,480,390,880,1600,390,390
petr yan kimdir,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,petr yan,,10,LOW,0,,,,evet,10,10,10,10,10,0,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petr yan hangi takımda,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,petr yan,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
petr yan istatistik,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,petr yan,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ciryl gane,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,ciryl gane,,8100,LOW,0,0.74,,,evet,5400,27100,8100,3600,4400,2400,3600,2900,3600,18100,5400,5400,6600,8100,1300,1300,1900,1300,1900,5400,6600,1300,720,1000,1000,880,880,880,880,590,720
ciryl gane kimdir,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,ciryl gane,,10,LOW,0,,,,evet,10,30,10,10,10,10,10,10,10,20,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ciryl gane hangi takımda,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,ciryl gane,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ciryl gane istatistik,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,ciryl gane,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carlos ulberg,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,carlos ulberg,,1600,LOW,0,,,,evet,1600,1600,1600,6600,1300,1000,260,320,720,1600,2400,480,390,480,210,210,1900,210,210,210,1300,170,70,90,70,320,480,70,40,20,20
carlos ulberg kimdir,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,carlos ulberg,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carlos ulberg hangi takımda,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,carlos ulberg,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carlos ulberg istatistik,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,carlos ulberg,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sean strickland,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,sean strickland,,14800,LOW,0,,0.25,1.41,evet,9900,14800,90500,8100,8100,14800,2900,2900,2400,2900,2400,9900,5400,4400,2900,3600,8100,27100,12100,9900,12100,8100,5400,6600,5400,14800,6600,9900,9900,8100,18100
sean strickland kimdir,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,sean strickland,,20,LOW,0,,,,evet,40,10,140,10,10,10,0,10,0,0,0,10,10,10,10,10,10,30,10,20,20,10,10,10,10,20,10,30,20,10,30
sean strickland hangi takımda,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,sean strickland,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sean strickland istatistik,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,sean strickland,,10,LOW,3,,,,evet,10,10,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joshua van,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,joshua van,,2400,LOW,0,,,,evet,1600,1900,8100,1600,1300,1600,1000,6600,1600,1300,320,720,1300,5400,90,70,720,90,50,390,90,20,140,10,90,40,30,30,10,10,70
joshua van kimdir,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,joshua van,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joshua van hangi takımda,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,joshua van,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joshua van istatistik,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,joshua van,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alex pereira,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,alex pereira,,27100,LOW,1,0.04,0.24,0.94,evet,14800,74000,40500,12100,18100,12100,18100,12100,18100,74000,14800,22200,27100,18100,12100,14800,165000,40500,40500,27100,49500,40500,12100,14800,22200,33100,9900,27100,8100,6600,6600
alex pereira kimdir,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,alex pereira,,10,LOW,0,,,,evet,10,10,10,10,10,10,20,10,10,50,10,10,10,10,10,10,170,30,20,30,50,50,10,40,40,20,10,20,10,10,10
alex pereira hangi takımda,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,alex pereira,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alex pereira istatistik,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,alex pereira,,30,LOW,0,,,,evet,30,40,70,10,20,20,30,10,30,50,10,50,70,40,30,10,170,140,320,140,320,140,30,50,0,0,0,0,0,0,0
merab dvalishvili,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,merab dvalishvili,,8100,LOW,1,,0.25,0.68,evet,4400,5400,5400,2900,4400,2400,3600,22200,9900,18100,4400,8100,9900,22200,6600,6600,8100,6600,27100,5400,1900,1600,8100,1900,880,720,880,1300,1900,2900,480
merab dvalishvili kimdir,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,merab dvalishvili,,10,LOW,0,,,,evet,10,10,10,0,10,10,10,20,10,10,10,10,10,30,10,10,10,10,40,0,0,0,0,0,0,0,0,0,0,0,0
merab dvalishvili hangi takımda,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,merab dvalishvili,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
merab dvalishvili istatistik,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,merab dvalishvili,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jack della maddalena,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Jenerik,,jack della maddalena,,6600,LOW,1,,,,evet,1600,1900,8100,2900,1900,1900,2400,1900,33100,8100,4400,9900,6600,2900,12100,1900,1300,1000,480,390,390,210,170,210,390,260,210,210,1000,170,70
jack della maddalena kimdir,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,jack della maddalena,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jack della maddalena hangi takımda,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,jack della maddalena,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jack della maddalena istatistik,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,jack della maddalena,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paddy pimblett,UFC,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,paddy pimblett,,18100,LOW,1,0.37,0.19,0.84,evet,60500,22200,9900,4400,5400,6600,60500,12100,14800,9900,6600,22200,40500,33100,8100,27100,8100,5400,9900,1900,4400,1900,1300,1900,6600,880,720,1300,1000,1300,1900
