keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,prestij_katmani,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,intent_kaynak,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,katman,competition,competition_index,cpc,low_bid,high_bid,kurum_sorgusu,oyuncu_dogrulama,faset_notu,mantik_denetim,guncellik,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01
real sociedad transfer,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Transfer,Bilgi,Bilgi,Takım,Jenerik,İngilizce,Body,Transfer,Ana Liste,LOW,3,,,,hayır,,,Geçerli,,20,LOW,3,,,,evet,20,10,10,10,10,10,30,10,10,10,50,50,30,10,10,10,10,20,10,10,10,10,30,30,40,30,10,10,10,10,20
villarreal,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Ana Liste,LOW,1,0.46,0.28,0.94,hayır,,,Geçerli,,60500,LOW,1,0.46,0.28,0.94,evet,14800,6600,49500,74000,49500,90500,74000,90500,90500,74000,60500,60500,9900,8100,40500,49500,40500,40500,74000,60500,22200,40500,49500,74000,9900,12100,90500,40500,60500,60500,74000
villarreal maçları,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Head,Takım Maç Sorgusu,Ana Liste,LOW,0,,,,hayır,,,Geçerli,,5400,LOW,0,,,,evet,1300,260,5400,6600,4400,6600,8100,9900,8100,8100,6600,3600,720,260,5400,5400,5400,2900,6600,6600,2400,5400,5400,6600,480,210,2400,1900,1900,1900,3600
villarreal fikstür,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Fikstür,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Head,Fikstür,Ana Liste,LOW,0,,,,hayır,,,Geçerli,,40,LOW,0,,,,evet,10,10,30,50,30,50,70,90,70,70,70,20,10,10,30,30,20,20,20,40,10,30,40,0,0,0,0,0,0,0,0
villarreal puan durumu,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Puan Durumu,Skor & Sonuç,Bilgi,Takım,Jenerik,İngilizce,Body,Puan Durumu,Ana Liste,LOW,0,,,,hayır,,,Geçerli,,12100,LOW,0,,,,evet,4400,1600,18100,22200,12100,14800,22200,18100,14800,12100,9900,5400,1000,1300,14800,9900,9900,6600,9900,9900,4400,8100,8100,5400,390,10,140,70,260,110,90
villarreal kadrosu,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Kadro,Bilgi,Bilgi,Takım,Jenerik,İngilizce,Head,Kadro,Ana Liste,LOW,0,,,,hayır,,,Geçerli,,390,LOW,0,,,,evet,320,170,320,210,210,320,590,390,390,590,480,320,210,210,320,170,260,210,320,260,210,390,480,720,390,480,880,320,320,390,590
villarreal canlı izle,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Canlı İzle,İzleme,İzleme,Takım,Jenerik,Türkçe,Body,Canlı İzle,Ana Liste,LOW,8,,,,hayır,,,Geçerli,,30,LOW,8,,,,evet,10,0,10,10,30,20,10,110,50,30,10,20,10,0,10,10,10,10,10,20,10,30,30,20,10,10,30,10,10,40,30
villarreal transfer,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Transfer,Bilgi,Bilgi,Takım,Jenerik,İngilizce,Head,Transfer,Ana Liste,LOW,2,,,,hayır,,,Geçerli,,50,LOW,2,,,,evet,30,20,20,10,20,10,70,40,30,90,140,140,40,10,10,10,10,10,20,10,20,30,50,140,40,40,40,30,10,30,70
athletic bilbao,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Ana Liste,LOW,1,0.62,0.05,0.63,hayır,,,Geçerli,,110000,LOW,1,0.62,0.05,0.63,evet,22200,6600,49500,40500,40500,74000,450000,135000,90500,135000,110000,74000,22200,22200,246000,201000,201000,201000,1000000,823000,450000,165000,110000,110000,18100,12100,60500,74000,60500,90500,90500
athletic bilbao maçları,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Body,Takım Maç Sorgusu,Ana Liste,LOW,1,,,,hayır,,,Geçerli,,5400,LOW,1,,,,evet,880,210,1900,2400,2900,4400,14800,9900,4400,9900,5400,3600,880,720,12100,14800,14800,14800,74000,90500,27100,12100,8100,6600,320,110,390,590,590,590,390
athletic bilbao fikstür,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Fikstür,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Body,Fikstür,Ana Liste,LOW,5,,,,hayır,,,Geçerli,,40,LOW,5,,,,evet,10,10,10,10,30,30,90,70,20,90,50,20,10,0,30,50,50,50,260,480,140,70,70,50,0,0,0,0,0,0,0
athletic bilbao puan durumu,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Puan Durumu,Skor & Sonuç,Bilgi,Takım,Jenerik,İngilizce,Body,Puan Durumu,Ana Liste,LOW,0,,,,hayır,,,Geçerli,,9900,LOW,0,,,,evet,2400,880,8100,6600,8100,9900,22200,12100,8100,12100,12100,6600,1900,1900,27100,27100,33100,33100,201000,165000,49500,18100,14800,9900,880,480,1000,1600,1000,1000,1000
athletic bilbao kadrosu,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Kadro,Bilgi,Bilgi,Takım,Jenerik,İngilizce,Body,Kadro,Ana Liste,LOW,0,0.12,,,hayır,,,Geçerli,,210,LOW,0,0.12,,,evet,210,90,210,170,170,170,260,210,170,260,320,210,210,260,720,320,590,320,2400,3600,720,480,720,1000,320,260,170,260,260,260,320
athletic bilbao canlı izle,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Canlı İzle,İzleme,İzleme,Takım,Jenerik,Türkçe,Body,Canlı İzle,Ana Liste,LOW,13,0.79,,,hayır,,,Geçerli,,50,LOW,13,0.79,,,evet,30,0,20,40,40,90,40,140,30,90,90,40,10,0,40,140,50,20,170,40,50,90,30,30,10,0,20,70,40,30,170
athletic bilbao transfer,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Transfer,Bilgi,Bilgi,Takım,Jenerik,İngilizce,Body,Transfer,Ana Liste,LOW,1,,,,hayır,,,Geçerli,,50,LOW,1,,,,evet,50,10,20,20,20,90,50,50,40,40,170,140,90,30,70,20,50,140,170,260,50,70,110,170,50,40,40,30,40,40,50
valencia,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Ana Liste,LOW,10,0.8,0.17,1.82,hayır,,,Geçerli,,27100,LOW,10,0.8,0.17,1.82,evet,18100,22200,33100,22200,27100,33100,33100,33100,27100,18100,27100,22200,22200,18100,27100,27100,27100,27100,33100,27100,49500,60500,27100,27100,22200,22200,33100,27100,33100,33100,49500
valencia maçları,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Head,Takım Maç Sorgusu,Ana Liste,LOW,5,0.09,0.03,1.58,hayır,,,Geçerli,,2900,LOW,5,0.09,0.03,1.58,evet,590,90,3600,2400,2900,2900,5400,4400,2400,1900,5400,1900,720,170,1900,3600,2900,3600,3600,3600,1900,3600,2900,3600,590,140,4400,4400,3600,2900,9900
valencia fikstür,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Fikstür,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Head,Fikstür,Ana Liste,LOW,0,,,,hayır,,,Geçerli,,30,LOW,0,,,,evet,10,10,30,20,40,30,50,30,30,40,40,30,10,10,30,30,30,40,90,50,30,40,20,50,10,10,20,70,50,40,70
valencia puan durumu,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Puan Durumu,Skor & Sonuç,Bilgi,Takım,Jenerik,İngilizce,Body,Puan Durumu,Ana Liste,LOW,1,,,,hayır,,,Geçerli,,880,LOW,1,,,,evet,170,90,1600,720,880,1000,1300,1300,720,480,880,590,170,140,1000,1600,1300,1600,1300,390,210,320,260,390,50,70,480,880,880,720,1600
valencia kadrosu,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Kadro,Bilgi,Bilgi,Takım,Jenerik,İngilizce,Head,Kadro,Ana Liste,LOW,2,,,,hayır,,,Geçerli,,170,LOW,2,,,,evet,110,90,170,110,170,260,170,170,170,170,170,260,170,140,170,210,170,210,390,210,210,210,260,320,210,260,210,260,480,170,320
valencia canlı izle,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Canlı İzle,İzleme,İzleme,Takım,Jenerik,Türkçe,Body,Canlı İzle,Ana Liste,,,,,,hayır,,,Geçerli,,10,,,,,,evet,0,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,20
valencia transfer,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Transfer,Bilgi,Bilgi,Takım,Jenerik,İngilizce,Head,Transfer,Ana Liste,LOW,6,,,,hayır,,,Geçerli,,40,LOW,6,,,,evet,40,70,20,10,10,20,20,10,20,10,70,140,90,40,10,30,40,40,90,20,20,40,70,170,70,110,40,30,40,70,90
real betis,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Ana Liste,LOW,1,0.77,0.09,0.88,hayır,,,Geçerli,,110000,LOW,1,0.77,0.09,0.88,evet,18100,8100,110000,110000,110000,135000,246000,165000,110000,110000,110000,90500,18100,22200,550000,201000,165000,201000,60500,90500,49500,40500,90500,40500,9900,9900,90500,60500,49500,135000,90500
real betis maçları,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Body,Takım Maç Sorgusu,Ana Liste,LOW,1,,,,hayır,,,Geçerli,,5400,LOW,1,,,,evet,590,260,5400,8100,8100,6600,8100,9900,5400,6600,6600,4400,720,720,33100,14800,12100,18100,4400,6600,2900,3600,8100,2400,390,110,2400,2400,1600,3600,1900
real betis fikstür,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Fikstür,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Body,Fikstür,Ana Liste,LOW,0,,,,hayır,,,Geçerli,,40,LOW,0,,,,evet,10,10,50,40,30,40,70,50,40,50,70,20,10,10,90,70,40,50,20,50,20,30,50,0,0,0,0,0,0,0,0
real betis puan durumu,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Puan Durumu,Skor & Sonuç,Bilgi,Takım,Jenerik,İngilizce,Body,Puan Durumu,Ana Liste,LOW,0,,,,hayır,,,Geçerli,,12100,LOW,0,,,,evet,1300,1000,22200,14800,12100,14800,18100,18100,9900,9900,9900,6600,1300,1900,49500,22200,22200,18100,8100,9900,4400,4400,8100,1900,20,10,140,140,90,320,170
real betis kadrosu,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Kadro,Bilgi,Bilgi,Takım,Jenerik,İngilizce,Body,Kadro,Ana Liste,LOW,1,,,,hayır,,,Geçerli,,320,LOW,1,,,,evet,210,170,320,320,260,480,390,320,260,260,320,260,260,320,1300,320,590,390,260,210,170,210,390,320,210,210,590,260,260,590,390
real betis canlı izle,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Canlı İzle,İzleme,İzleme,Takım,Jenerik,Türkçe,Body,Canlı İzle,Ana Liste,LOW,21,0.17,,,hayır,,,Geçerli,,40,LOW,21,0.17,,,evet,10,10,20,50,20,20,90,90,50,50,50,50,10,0,140,90,10,40,10,40,30,50,70,20,10,0,70,40,20,70,90
real betis transfer,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Transfer,Bilgi,Bilgi,Takım,Jenerik,İngilizce,Body,Transfer,Ana Liste,LOW,0,,,,hayır,,,Geçerli,,50,LOW,0,,,,evet,20,10,20,10,10,210,30,10,20,20,140,90,40,20,50,20,30,50,110,20,20,10,50,50,30,20,30,10,10,210,40
girona,Diğer Avrupa Ligleri,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Ana Liste,LOW,7,0.57,0.24,1.38,hayır,,Ajan taraması: lig düzeltmesi,Geçerli,,27100,LOW,7,0.57,0.24,1.38,evet,8100,8100,60500,27100,27100,33100,49500,22200,18100,22200,60500,18100,6600,4400,49500,27100,27100,33100,27100,60500,49500,74000,49500,33100,12100,9900,165000,49500,110000,246000,450000
girona maçları,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Head,Takım Maç Sorgusu,Ana Liste,LOW,2,,,,hayır,,,Geçerli,,1300,LOW,2,,,,evet,210,20,3600,880,1000,880,1600,1300,480,1000,3600,590,170,20,2900,1300,1300,2400,1000,2400,2900,6600,5400,1300,390,50,5400,1300,4400,9900,9900
girona fikstür,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Fikstür,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Head,Fikstür,Ana Liste,LOW,7,,,,hayır,,,Geçerli,,20,LOW,7,,,,evet,10,0,50,10,10,30,40,10,20,20,40,10,10,0,30,10,30,30,10,50,40,40,70,0,0,0,0,0,0,0,0
girona puan durumu,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Puan Durumu,Skor & Sonuç,Bilgi,Takım,Jenerik,İngilizce,Body,Puan Durumu,Ana Liste,LOW,0,,,,hayır,,,Geçerli,,1300,LOW,0,,,,evet,210,260,2900,1300,480,1000,1600,590,720,1600,5400,260,70,110,1000,590,720,1300,720,590,880,5400,6600,170,140,20,590,320,390,880,1600
girona kadrosu,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Kadro,Bilgi,Bilgi,Takım,Jenerik,İngilizce,Head,Kadro,Ana Liste,LOW,0,,,,hayır,,,Geçerli,,140,LOW,0,,,,evet,50,90,170,110,50,170,260,90,90,140,210,110,70,50,110,70,90,140,140,480,320,210,320,390,210,210,480,210,260,720,1900
girona canlı izle,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Canlı İzle,İzleme,İzleme,Takım,Jenerik,Türkçe,Body,Canlı İzle,Ana Liste,LOW,11,,,,hayır,,,Geçerli,,10,LOW,11,,,,evet,10,0,30,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,20,10,30,10,10,10,0,40,10,20,140,140
girona transfer,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Transfer,Bilgi,Bilgi,Takım,Jenerik,İngilizce,Head,Transfer,Ana Liste,LOW,13,,,,hayır,,,Geçerli,,20,LOW,13,,,,evet,10,10,10,10,10,10,50,10,10,10,50,30,20,10,10,10,10,10,10,10,10,20,50,140,40,30,20,10,10,50,90
celta vigo,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Ana Liste,LOW,1,0.47,0.18,0.43,hayır,,,Geçerli,,33100,LOW,1,0.47,0.18,0.43,evet,4400,2900,33100,74000,60500,49500,40500,40500,33100,27100,18100,18100,8100,2400,33100,22200,33100,22200,33100,18100,22200,14800,27100,33100,6600,1900,27100,9900,27100,12100,49500
celta vigo maçları,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Body,Takım Maç Sorgusu,Ana Liste,LOW,2,0.16,,,hayır,,,Geçerli,,2900,LOW,2,0.16,,,evet,390,260,2900,5400,5400,4400,2400,3600,3600,1900,1300,390,590,30,1300,590,880,590,1000,720,720,1600,1900,880,590,70,880,390,880,390,1600
celta vigo fikstür,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Fikstür,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Body,Fikstür,Ana Liste,,,,,,hayır,,,Geçerli,,10,,,,,,evet,0,0,30,30,30,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
celta vigo puan durumu,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Puan Durumu,Skor & Sonuç,Bilgi,Takım,Jenerik,İngilizce,Body,Puan Durumu,Ana Liste,LOW,0,,,,hayır,,,Geçerli,,5400,LOW,0,,,,evet,320,390,8100,9900,9900,6600,5400,8100,6600,2400,2400,40,30,170,170,110,170,110,390,90,140,2400,1900,110,40,10,210,40,170,140,480
celta vigo kadrosu,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Kadro,Bilgi,Bilgi,Takım,Jenerik,İngilizce,Body,Kadro,Ana Liste,LOW,0,,,,hayır,,,Geçerli,,90,LOW,0,,,,evet,30,50,90,110,170,110,170,140,90,70,70,50,50,50,140,140,70,90,170,70,110,210,140,210,70,30,110,70,210,90,170
celta vigo canlı izle,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Canlı İzle,İzleme,İzleme,Takım,Jenerik,Türkçe,Body,Canlı İzle,Ana Liste,LOW,7,0.13,,,hayır,,,Geçerli,,40,LOW,7,0.13,,,evet,20,10,20,110,70,70,70,40,70,30,10,10,20,10,10,10,30,10,10,10,10,10,20,20,20,0,10,10,10,10,50
celta vigo transfer,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Transfer,Bilgi,Bilgi,Takım,Jenerik,İngilizce,Body,Transfer,Ana Liste,LOW,0,,,,hayır,,,Geçerli,,10,LOW,0,,,,evet,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,30,10,10,0,10,10,10,20
osasuna,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Ana Liste,LOW,1,0.31,,,hayır,,,Geçerli,,18100,LOW,1,0.31,,,evet,4400,1900,27100,22200,27100,27100,27100,27100,14800,22200,27100,18100,3600,2400,33100,27100,27100,49500,40500,33100,22200,14800,40500,12100,2900,1600,40500,22200,27100,14800,60500
osasuna maçları,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Head,Takım Maç Sorgusu,Ana Liste,LOW,1,0.04,0.04,0.31,hayır,,,Geçerli,,1600,LOW,1,0.04,0.04,0.31,evet,480,50,2900,1900,1900,2400,1900,1900,1000,1600,1900,1600,320,90,3600,2900,2900,5400,3600,4400,2900,2400,5400,1300,210,30,1600,880,1300,720,2900
osasuna fikstür,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Fikstür,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Head,Fikstür,Ana Liste,,,,,,hayır,,,Geçerli,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
osasuna puan durumu,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Puan Durumu,Skor & Sonuç,Bilgi,Takım,Jenerik,İngilizce,Body,Puan Durumu,Ana Liste,LOW,0,,,,hayır,,,Geçerli,,3600,LOW,0,,,,evet,480,390,8100,3600,3600,6600,2900,4400,1900,2400,1900,2400,480,590,6600,4400,5400,8100,6600,5400,6600,3600,8100,1300,170,90,880,390,720,320,1300
osasuna kadrosu,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Kadro,Bilgi,Bilgi,Takım,Jenerik,İngilizce,Head,Kadro,Ana Liste,LOW,0,,,,hayır,,,Geçerli,,10,LOW,0,,,,evet,10,10,20,10,10,20,10,10,10,10,10,30,10,10,10,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
osasuna canlı izle,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Canlı İzle,İzleme,İzleme,Takım,Jenerik,Türkçe,Body,Canlı İzle,Ana Liste,,,,,,hayır,,,Geçerli,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
osasuna transfer,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Transfer,Bilgi,Bilgi,Takım,Jenerik,İngilizce,Head,Transfer,Ana Liste,LOW,0,,,,hayır,,,Geçerli,,10,LOW,0,,,,evet,10,10,0,10,10,10,10,10,10,10,10,20,10,0,10,0,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10
getafe,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Ana Liste,LOW,2,0.36,0.23,0.49,hayır,,,Geçerli,,27100,LOW,2,0.36,0.23,0.49,evet,8100,2400,33100,33100,27100,22200,49500,27100,27100,49500,27100,14800,4400,4400,33100,33100,27100,27100,27100,40500,33100,27100,33100,18100,2900,4400,40500,12100,27100,40500,90500
getafe maçları,La Liga,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,İspanya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Head,Takım Maç Sorgusu,Ana Liste,LOW,2,0.08,0.05,0.41,hayır,,,Geçerli,,2900,LOW,2,0.08,0.05,0.41,evet,1000,170,3600,3600,3600,1600,5400,3600,2400,6600,2900,1600,590,170,3600,3600,2400,2900,3600,4400,3600,2900,3600,1600,140,50,1900,590,1300,2900,3600
