keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,prestij_katmani,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,kulup,oyuncu_ana_ad,kurum_sorgusu,oyuncu_dogrulama,varyant_denetim,teknik_kadro,katman,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01,mantik_denetim,faset_notu
carlik jones istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,kk partizan,carlik jones,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
ethan thompson,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,kk partizan,ethan thompson,hayır,,,,Genişletme,70,LOW,0,,,,evet,20,10,30,210,90,70,70,320,10,70,10,20,20,10,10,30,50,20,10,10,10,30,10,30,70,10,10,10,10,10,10,Geçerli,
ethan thompson kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,kk partizan,ethan thompson,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
ethan thompson hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,kk partizan,ethan thompson,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
ethan thompson istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,kk partizan,ethan thompson,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
alessandro pajola,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,kk partizan,alessandro pajola,hayır,,,,Genişletme,110,LOW,0,,,,evet,70,30,40,20,110,40,210,50,40,170,480,210,70,70,40,50,110,170,140,50,260,110,20,20,20,40,20,110,70,70,170,Geçerli,
alessandro pajola kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,kk partizan,alessandro pajola,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
alessandro pajola hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,kk partizan,alessandro pajola,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
alessandro pajola istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,kk partizan,alessandro pajola,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
mario nakic,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,kk partizan,mario nakic,hayır,,,,Genişletme,20,LOW,0,,,,evet,20,10,20,10,20,20,10,10,10,40,20,20,10,20,10,10,10,20,20,30,70,50,40,110,30,70,10,10,10,10,10,Geçerli,
mario nakic kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,kk partizan,mario nakic,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
mario nakic hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,kk partizan,mario nakic,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
mario nakic istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,kk partizan,mario nakic,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
nikola tanaskovic,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,kk partizan,nikola tanaskovic,hayır,,,,Genişletme,30,LOW,0,,,,evet,40,10,10,10,30,50,20,30,70,10,10,10,10,40,10,0,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,Geçerli,
nikola tanaskovic kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,kk partizan,nikola tanaskovic,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
nikola tanaskovic hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,kk partizan,nikola tanaskovic,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
nikola tanaskovic istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,kk partizan,nikola tanaskovic,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
kevarrius hayes,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,kk partizan,kevarrius hayes,hayır,,,,Genişletme,1300,LOW,0,,,,evet,590,720,6600,4400,480,320,320,720,390,590,110,50,210,390,480,2900,1000,110,390,880,1300,880,70,50,260,90,170,110,170,90,260,Geçerli,
kevarrius hayes kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,kk partizan,kevarrius hayes,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
kevarrius hayes hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,kk partizan,kevarrius hayes,hayır,,,,Genişletme,10,LOW,0,,,,evet,10,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Geçerli,
kevarrius hayes istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,kk partizan,kevarrius hayes,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
arijan lakic,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,kk partizan,arijan lakic,hayır,,,,Genişletme,30,LOW,0,,,,evet,10,10,20,10,40,70,20,10,30,40,40,10,10,10,10,20,10,50,40,10,20,20,20,70,10,50,10,10,0,0,0,Geçerli,
arijan lakic kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,kk partizan,arijan lakic,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
arijan lakic hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,kk partizan,arijan lakic,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
arijan lakic istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,kk partizan,arijan lakic,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
tonye jekiri,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,kk partizan,tonye jekiri,hayır,,,,Genişletme,320,LOW,0,,,,evet,40,70,90,110,170,590,2400,50,110,90,40,110,70,110,110,70,40,50,170,50,140,110,140,110,70,110,170,110,170,140,390,Geçerli,
tonye jekiri kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,kk partizan,tonye jekiri,hayır,,,,Genişletme,0,,,,,,evet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,10,Geçerli,
tonye jekiri hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,kk partizan,tonye jekiri,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
tonye jekiri istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,kk partizan,tonye jekiri,hayır,,,,Genişletme,10,,,,,,evet,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,Geçerli,
derek willis,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,kk partizan,derek willis,hayır,,,,Genişletme,170,LOW,0,,,,evet,70,70,50,70,90,210,110,110,260,480,390,140,480,1300,1300,1300,590,390,720,720,880,1600,720,210,320,1900,480,880,1000,1000,2400,Geçerli,
derek willis kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,kk partizan,derek willis,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
derek willis hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,kk partizan,derek willis,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
derek willis istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,kk partizan,derek willis,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
matteo spagnolo,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,saski baskonia,matteo spagnolo,hayır,,,,Genişletme,140,LOW,0,,,,evet,70,70,40,50,50,40,210,90,140,210,480,320,90,40,30,50,70,140,110,110,210,260,20,10,20,20,20,20,50,70,90,Geçerli,
matteo spagnolo kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,saski baskonia,matteo spagnolo,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
matteo spagnolo hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,saski baskonia,matteo spagnolo,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
matteo spagnolo istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,saski baskonia,matteo spagnolo,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
khalifa diop,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,saski baskonia,khalifa diop,hayır,,,,Genişletme,90,LOW,0,,,,evet,50,40,70,90,50,50,390,90,70,170,50,30,30,30,50,40,320,30,70,110,170,140,30,10,20,20,40,40,70,40,50,Geçerli,
khalifa diop kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,saski baskonia,khalifa diop,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
khalifa diop hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,saski baskonia,khalifa diop,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
khalifa diop istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,saski baskonia,khalifa diop,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
clement frisch,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,saski baskonia,clement frisch,hayır,,,,Genişletme,30,LOW,0,,,,evet,20,10,40,20,40,20,70,40,30,50,40,10,20,70,50,10,10,10,10,10,0,0,0,0,0,0,10,10,0,0,0,Geçerli,
clement frisch kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,saski baskonia,clement frisch,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
clement frisch hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,saski baskonia,clement frisch,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
clement frisch istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,saski baskonia,clement frisch,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
stefan joksimovic,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,saski baskonia,stefan joksimovic,hayır,,,,Genişletme,70,LOW,0,,,,evet,170,70,50,40,50,30,210,20,30,50,20,10,10,10,10,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,Geçerli,
stefan joksimovic kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,saski baskonia,stefan joksimovic,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
stefan joksimovic hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,saski baskonia,stefan joksimovic,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
stefan joksimovic istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,saski baskonia,stefan joksimovic,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
chris duarte,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,saski baskonia,chris duarte,hayır,,,,Genişletme,70,LOW,2,,,,evet,170,70,90,70,40,50,50,90,90,90,30,30,260,170,70,50,40,110,70,70,140,170,50,70,320,50,30,40,90,50,210,Geçerli,
chris duarte kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,saski baskonia,chris duarte,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
chris duarte hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,saski baskonia,chris duarte,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
chris duarte istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,saski baskonia,chris duarte,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
a. j. lawson,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Jenerik,saski baskonia,a. j. lawson,hayır,,,,Genişletme,20,LOW,0,,,,evet,90,10,10,10,10,10,20,20,20,20,10,10,10,10,10,20,70,10,10,30,10,70,10,20,20,20,20,10,10,10,10,Geçerli,
a. j. lawson kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,saski baskonia,a. j. lawson,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
a. j. lawson hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Ana Liste,Erkek,Kulüp,Takım Sporu,Yurt Dışı,Yabancı,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Long-tail,Oyuncu Bilgi,saski baskonia,a. j. lawson,hayır,,,,Genişletme,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
